id,seed_word,emotion_labels,polarity_labels,primary_emotion,generated_sentence,language,llm_model,prompt_version,generation_round,n_words
17,catastrophe,"""['anger', 'disgust', 'fear', 'sadness', 'surprise']""","""['negative']""",anger,The economic catastrophe that followed the financial crisis was severe.,en,llama-3.1-8b-instant,v2-batch,1,10
18,volatility,"""['anger', 'anticipation', 'fear', 'surprise']""","""['negative']""",anger,The stock market's high volatility made it a tough investment for beginners.,en,llama-3.1-8b-instant,v2-batch,1,12
19,volatility,"""['anger', 'anticipation', 'fear', 'surprise']""","""['negative']""",anger,The team's performance showed a high level of volatility that was difficult to predict.,en,llama-3.1-8b-instant,v2-batch,1,14
20,presumptuous,"""['anger', 'disgust']""","""['negative']""",anger,The manager's presumptuous attitude towards the team led to a lot of resentment among the staff.,en,llama-3.1-8b-instant,v2-batch,1,16
21,presumptuous,"""['anger', 'disgust']""","""['negative']""",anger,Her presumptuous behavior towards her colleagues made it difficult for her to make friends at work.,en,llama-3.1-8b-instant,v2-batch,1,16
22,arrogant,"""['anger', 'disgust']""","""['negative']""",anger,The arrogant CEO thought he was above the law and continued to ignore the regulations.,en,llama-3.1-8b-instant,v2-batch,1,15
23,arrogant,"""['anger', 'disgust']""","""['negative']""",anger,Her arrogant tone when speaking to others often made them feel belittled and unvalued.,en,llama-3.1-8b-instant,v2-batch,1,14
24,arguments,"""['anger']""","""[]""",anger,The couple's constant arguments over money were taking a toll on their relationship.,en,llama-3.1-8b-instant,v2-batch,1,13
25,arguments,"""['anger']""","""[]""",anger,The professor's arguments with the students were becoming more and more heated by the day.,en,llama-3.1-8b-instant,v2-batch,1,15
26,clash,"""['anger']""","""['negative']""",anger,The two politicians were destined for a clash on the debate stage due to their differing opinions.,en,llama-3.1-8b-instant,v2-batch,1,17
27,clash,"""['anger']""","""['negative']""",anger,The clash between the team's captain and the coach was causing tension among the players.,en,llama-3.1-8b-instant,v2-batch,1,15
28,exile,"""['anger', 'fear', 'sadness']""","""['negative']""",anger,The king's decision to exile his brother from the kingdom caused a lot of unrest among the people.,en,llama-3.1-8b-instant,v2-batch,1,18
29,exile,"""['anger', 'fear', 'sadness']""","""['negative']""",anger,The artist felt like she was in exile after being rejected by multiple galleries with her work.,en,llama-3.1-8b-instant,v2-batch,1,17
30,flagrant,"""['anger', 'disgust']""","""['negative']""",anger,The flagrant disrespect from the opposing team's coach sparked outrage among the fans.,en,llama-3.1-8b-instant,v2-batch,1,13
31,flagrant,"""['anger', 'disgust']""","""['negative']""",anger,The flagrant disregard for safety protocols is a serious concern in this industry.,en,llama-3.1-8b-instant,v2-batch,1,13
32,slay,"""['anger']""","""['negative']""",anger,I'm fed up with the slay of my favorite TV show being canceled without warning.,en,llama-3.1-8b-instant,v2-batch,1,15
33,slay,"""['anger']""","""['negative']""",anger,The slaying of the competition in the business world is a cutthroat game.,en,llama-3.1-8b-instant,v2-batch,1,13
34,wrangling,"""['anger', 'disgust', 'fear', 'sadness']""","""['negative']""",anger,The wrangling of the unruly children at the park was a daunting task for the volunteer.,en,llama-3.1-8b-instant,v2-batch,1,16
35,wrangling,"""['anger', 'disgust', 'fear', 'sadness']""","""['negative']""",anger,The wrangling of the difficult project deadline is taking a toll on my mental health.,en,llama-3.1-8b-instant,v2-batch,1,15
36,antipathy,"""['anger', 'disgust']""","""['negative']""",anger,My antipathy towards the new policy has been growing since its announcement.,en,llama-3.1-8b-instant,v2-batch,1,12
37,antipathy,"""['anger', 'disgust']""","""['negative']""",anger,The antipathy towards the opposing team's fans is evident in their behavior at the stadium.,en,llama-3.1-8b-instant,v2-batch,1,15
38,turmoil,"""['anger', 'fear', 'sadness']""","""['negative']""",anger,The turmoil in the financial markets is causing widespread panic among investors.,en,llama-3.1-8b-instant,v2-batch,1,12
39,turmoil,"""['anger', 'fear', 'sadness']""","""['negative']""",anger,The turmoil in my personal life is making it hard to focus on work.,en,llama-3.1-8b-instant,v2-batch,1,14
40,dominate,"""['anger', 'fear']""","""['negative', 'positive']""",anger,His need to dominate every conversation made him come across as arrogant and condescending.,en,llama-3.1-8b-instant,v2-batch,1,14
41,dominate,"""['anger', 'fear']""","""['negative', 'positive']""",anger,She felt threatened when her brother tried to dominate the board game and started to get angry.,en,llama-3.1-8b-instant,v2-batch,1,17
42,powerful,"""['anger', 'anticipation', 'disgust', 'fear', 'joy', 'trust']""","""['positive']""",anger,"The politician's powerful speech was overshadowed by his aggressive tone, making him sound angry.",en,llama-3.1-8b-instant,v2-batch,1,14
43,powerful,"""['anger', 'anticipation', 'disgust', 'fear', 'joy', 'trust']""","""['positive']""",anger,The athlete's powerful serve left her opponent feeling frustrated and angry on the court.,en,llama-3.1-8b-instant,v2-batch,1,14
44,explosive,"""['anger', 'anticipation', 'fear', 'surprise']""","""['negative']""",anger,The driver's aggressive behavior on the road led to an explosive argument with the other driver.,en,llama-3.1-8b-instant,v2-batch,1,16
45,explosive,"""['anger', 'anticipation', 'fear', 'surprise']""","""['negative']""",anger,"The explosive reaction to the news spread quickly through social media, with many people feeling angry.",en,llama-3.1-8b-instant,v2-batch,1,16
46,reprisal,"""['anger', 'fear', 'sadness']""","""['negative']""",anger,The company's decision to take a reprisal against the whistleblower sparked outrage among its employees.,en,llama-3.1-8b-instant,v2-batch,1,15
47,reprisal,"""['anger', 'fear', 'sadness']""","""['negative']""",anger,The politician's threat of reprisal against the opposition party made them feel anxious and fearful.,en,llama-3.1-8b-instant,v2-batch,1,15
48,violent,"""['anger', 'disgust', 'fear', 'surprise']""","""['negative']""",anger,"The violent outburst at the bar was a shock to everyone, and the perpetrator was quickly subdued.",en,llama-3.1-8b-instant,v2-batch,1,17
49,violent,"""['anger', 'disgust', 'fear', 'surprise']""","""['negative']""",anger,"The violent crime rate in the city has been rising, making residents feel angry and scared.",en,llama-3.1-8b-instant,v2-batch,1,16
50,hostage,"""['anger', 'fear']""","""['negative']""",anger,The government took the activist as a hostage in a tense standoff.,en,llama-3.1-8b-instant,v2-batch,1,12
51,hostage,"""['anger', 'fear']""","""['negative']""",anger,The kidnappers demanded a ransom in exchange for the businessman who had been taken hostage.,en,llama-3.1-8b-instant,v2-batch,1,15
52,adder,"""['anger', 'disgust', 'fear', 'sadness']""","""['negative']""",anger,The angry snake was an adder that had been provoked by the careless camper.,en,llama-3.1-8b-instant,v2-batch,1,14
53,adder,"""['anger', 'disgust', 'fear', 'sadness']""","""['negative']""",anger,The venomous adder was coiled and ready to strike at the unsuspecting hiker.,en,llama-3.1-8b-instant,v2-batch,1,13
54,destroyer,"""['anger', 'fear']""","""['negative']""",anger,The warship was a destroyer that sank quickly after being hit by the enemy torpedo.,en,llama-3.1-8b-instant,v2-batch,1,15
55,destroyer,"""['anger', 'fear']""","""['negative']""",anger,The bulldozer was a powerful destroyer of buildings and everything in its path.,en,llama-3.1-8b-instant,v2-batch,1,13
56,pretending,"""['anger']""","""['negative']""",anger,The student was pretending to be interested in the lecture but was secretly checking their phone.,en,llama-3.1-8b-instant,v2-batch,1,16
57,pretending,"""['anger']""","""['negative']""",anger,The actor was pretending to be a doctor in the movie but clearly had no medical training.,en,llama-3.1-8b-instant,v2-batch,1,17
58,liquor,"""['anger', 'joy', 'sadness']""","""['negative']""",anger,The driver had been drinking liquor before getting behind the wheel and caused a fatal accident.,en,llama-3.1-8b-instant,v2-batch,1,16
59,liquor,"""['anger', 'joy', 'sadness']""","""['negative']""",anger,The store was selling liquor to minors and faced severe penalties for breaking the law.,en,llama-3.1-8b-instant,v2-batch,1,15
60,fiesta,"""['anticipation', 'joy', 'surprise', 'trust']""","""['positive']""",anticipation,The local band announced a surprise fiesta at the town square tonight.,en,llama-3.1-8b-instant,v2-batch,1,12
61,fiesta,"""['anticipation', 'joy', 'surprise', 'trust']""","""['positive']""",anticipation,I'm planning an epic fiesta with my friends at the beach this weekend.,en,llama-3.1-8b-instant,v2-batch,1,13
62,cove,"""['anticipation', 'disgust', 'fear', 'joy']""","""['positive']""",anticipation,My family is excited to visit the secluded cove on the island tomorrow.,en,llama-3.1-8b-instant,v2-batch,1,13
63,cove,"""['anticipation', 'disgust', 'fear', 'joy']""","""['positive']""",anticipation,The hidden cove behind the waterfall is a perfect spot for a romantic getaway.,en,llama-3.1-8b-instant,v2-batch,1,14
64,efficient,"""['anticipation', 'trust']""","""['positive']""",anticipation,Using public transport is an efficient way to get around the city.,en,llama-3.1-8b-instant,v2-batch,1,12
65,efficient,"""['anticipation', 'trust']""","""['positive']""",anticipation,The new team has been working efficiently to meet the project deadline.,en,llama-3.1-8b-instant,v2-batch,1,12
66,university,"""['anticipation']""","""['positive']""",anticipation,I'm applying to several top universities in the country for next semester.,en,llama-3.1-8b-instant,v2-batch,1,12
67,university,"""['anticipation']""","""['positive']""",anticipation,The university is hosting a career fair with many leading companies attending.,en,llama-3.1-8b-instant,v2-batch,1,12
68,hero,"""['anticipation', 'joy', 'surprise', 'trust']""","""['positive']""",anticipation,The firefighter is a true hero for rescuing people from the burning building.,en,llama-3.1-8b-instant,v2-batch,1,13
69,hero,"""['anticipation', 'joy', 'surprise', 'trust']""","""['positive']""",anticipation,My mom is my personal hero for always being there to support me.,en,llama-3.1-8b-instant,v2-batch,1,13
70,cement,"""['anticipation', 'trust']""","""[]""",anticipation,The new construction project will use a special type of cement to ensure durability and strength.,en,llama-3.1-8b-instant,v2-batch,1,16
71,cement,"""['anticipation', 'trust']""","""[]""",anticipation,The engineer carefully mixed the cement to create a solid foundation for the building.,en,llama-3.1-8b-instant,v2-batch,1,14
72,career,"""['anticipation']""","""['positive']""",anticipation,Landing a job in her dream career was the main priority for Emily after graduating from college.,en,llama-3.1-8b-instant,v2-batch,1,17
73,career,"""['anticipation']""","""['positive']""",anticipation,"After years of hard work, he finally achieved his career goal of becoming a successful entrepreneur.",en,llama-3.1-8b-instant,v2-batch,1,16
74,inspiration,"""['anticipation', 'joy']""","""['positive']""",anticipation,The motivational speaker's words were a great source of inspiration for the entire audience.,en,llama-3.1-8b-instant,v2-batch,1,14
75,inspiration,"""['anticipation', 'joy']""","""['positive']""",anticipation,Reading about the life stories of successful people was a constant source of inspiration for him.,en,llama-3.1-8b-instant,v2-batch,1,16
76,celebrated,"""['anticipation', 'joy']""","""['positive']""",anticipation,The famous chef was celebrated for his innovative recipes and culinary expertise.,en,llama-3.1-8b-instant,v2-batch,1,12
77,celebrated,"""['anticipation', 'joy']""","""['positive']""",anticipation,She was celebrated as a national hero for her bravery and selfless contributions to society.,en,llama-3.1-8b-instant,v2-batch,1,15
78,immature,"""['anticipation']""","""['negative']""",anticipation,The immature plant required special care and attention to grow into a healthy tree.,en,llama-3.1-8b-instant,v2-batch,1,14
79,immature,"""['anticipation']""","""['negative']""",anticipation,He was still immature and needed guidance from his older brother to navigate life's challenges.,en,llama-3.1-8b-instant,v2-batch,1,15
80,honeymoon,"""['anticipation', 'joy', 'surprise', 'trust']""","""['positive']""",anticipation,"Their upcoming honeymoon to the Maldives is highly anticipated, with many exciting activities planned.",en,llama-3.1-8b-instant,v2-batch,1,14
81,honeymoon,"""['anticipation', 'joy', 'surprise', 'trust']""","""['positive']""",anticipation,"After months of saving, the couple is finally on their dream honeymoon, enjoying every moment of it.",en,llama-3.1-8b-instant,v2-batch,1,17
82,rejoice,"""['anticipation', 'joy', 'surprise', 'trust']""","""['positive']""",anticipation,The fans were eager to rejoice when their favorite team finally won the championship after years of struggles.,en,llama-3.1-8b-instant,v2-batch,1,18
83,rejoice,"""['anticipation', 'joy', 'surprise', 'trust']""","""['positive']""",anticipation,"Everyone will rejoice at the news of the new employee, who will help to improve the company's performance.",en,llama-3.1-8b-instant,v2-batch,1,18
84,fain,"""['anticipation', 'joy', 'trust']""","""['positive']""",anticipation,"The villagers are fain to believe in the legend of the hidden treasure, which has been passed down for generations.",en,llama-3.1-8b-instant,v2-batch,1,20
85,fain,"""['anticipation', 'joy', 'trust']""","""['positive']""",anticipation,"She fain wishes to join the team, but her lack of experience is a major concern for the coach.",en,llama-3.1-8b-instant,v2-batch,1,19
86,withstand,"""['anticipation', 'fear']""","""['positive']""",anticipation,The city is preparing to withstand the upcoming hurricane by reinforcing its defenses and stockpiling supplies.,en,llama-3.1-8b-instant,v2-batch,1,16
87,withstand,"""['anticipation', 'fear']""","""['positive']""",anticipation,"The athlete is training hard to withstand the physical demands of the marathon, which is just around the corner.",en,llama-3.1-8b-instant,v2-batch,1,19
88,astrologer,"""['anticipation']""","""['positive']""",anticipation,The famous astrologer has predicted that the upcoming eclipse will bring good fortune to those born under the right signs.,en,llama-3.1-8b-instant,v2-batch,1,20
89,astrologer,"""['anticipation']""","""['positive']""",anticipation,The astrologer's advice has helped many people to make important decisions about their love lives and career paths.,en,llama-3.1-8b-instant,v2-batch,1,18
90,torture,"""['anger', 'anticipation', 'disgust', 'fear', 'sadness']""","""['negative']""",anticipation,The thought of the impending torture session filled me with growing anticipation.,en,llama-3.1-8b-instant,v2-batch,1,12
91,torture,"""['anger', 'anticipation', 'disgust', 'fear', 'sadness']""","""['negative']""",anticipation,The news of the upcoming torture trial created a sense of anticipation in the community.,en,llama-3.1-8b-instant,v2-batch,1,15
92,motion,"""['anticipation']""","""[]""",anticipation,The slow motion replay of the goal created a sense of anticipation for the fans.,en,llama-3.1-8b-instant,v2-batch,1,15
93,motion,"""['anticipation']""","""[]""",anticipation,The teacher asked the students to show their motion before the upcoming exam to build anticipation.,en,llama-3.1-8b-instant,v2-batch,1,16
94,precursor,"""['anticipation']""","""[]""",anticipation,The new technology was seen as a precursor to a brighter and more exciting future filled with anticipation.,en,llama-3.1-8b-instant,v2-batch,1,18
95,precursor,"""['anticipation']""","""[]""",anticipation,The strange noise was a precursor to the anticipation of something incredible happening.,en,llama-3.1-8b-instant,v2-batch,1,13
96,coming,"""['anticipation']""","""[]""",anticipation,The announcement of the coming holiday season filled everyone with excitement and anticipation.,en,llama-3.1-8b-instant,v2-batch,1,13
97,coming,"""['anticipation']""","""[]""",anticipation,The news of the coming new product launch created a sense of anticipation among investors.,en,llama-3.1-8b-instant,v2-batch,1,15
98,inoculation,"""['anticipation', 'trust']""","""[]""",anticipation,The doctor explained that the inoculation process would take some time and cause a sense of anticipation.,en,llama-3.1-8b-instant,v2-batch,1,17
99,inoculation,"""['anticipation', 'trust']""","""[]""",anticipation,"The team was looking forward to the inoculation of the new technology, which was expected to bring great anticipation.",en,llama-3.1-8b-instant,v2-batch,1,19
100,bridegroom,"""['anticipation', 'joy', 'trust']""","""['positive']""",anticipation,The bridegroom couldn't wait to see his bride walk down the aisle on their special day.,en,llama-3.1-8b-instant,v2-batch,1,16
101,bridegroom,"""['anticipation', 'joy', 'trust']""","""['positive']""",anticipation,The bridegroom's friends were excitedly discussing the upcoming wedding reception plans tonight.,en,llama-3.1-8b-instant,v2-batch,1,12
102,prevail,"""['anticipation', 'joy']""","""['positive']""",anticipation,The coach believed his team would prevail in the championship game if they played with confidence.,en,llama-3.1-8b-instant,v2-batch,1,16
103,prevail,"""['anticipation', 'joy']""","""['positive']""",anticipation,"The strong breeze would prevail in the open field, making it difficult for the kite flyers.",en,llama-3.1-8b-instant,v2-batch,1,16
104,frantic,"""['anticipation', 'disgust', 'fear', 'surprise']""","""['negative']""",anticipation,The frantic crowd rushed to the exit when the alarm sounded during the evacuation drill.,en,llama-3.1-8b-instant,v2-batch,1,15
105,frantic,"""['anticipation', 'disgust', 'fear', 'surprise']""","""['negative']""",anticipation,The frantic search party combed the woods to find the missing child before nightfall.,en,llama-3.1-8b-instant,v2-batch,1,14
106,rising,"""['anticipation', 'joy']""","""['positive']""",anticipation,The rising sun cast a warm glow over the ocean as the day began.,en,llama-3.1-8b-instant,v2-batch,1,14
107,rising,"""['anticipation', 'joy']""","""['positive']""",anticipation,The rising cost of living made it challenging for many families to afford a comfortable lifestyle.,en,llama-3.1-8b-instant,v2-batch,1,16
108,retirement,"""['anticipation', 'fear', 'joy', 'sadness', 'trust']""","""['negative', 'positive']""",anticipation,"After years of hard work, she was finally looking forward to her well-deserved retirement.",en,llama-3.1-8b-instant,v2-batch,1,14
109,retirement,"""['anticipation', 'fear', 'joy', 'sadness', 'trust']""","""['negative', 'positive']""",anticipation,The company offered a generous retirement package to its long-serving employees as a token of appreciation.,en,llama-3.1-8b-instant,v2-batch,1,16
110,immerse,"""['anticipation', 'fear', 'joy', 'surprise', 'trust']""","""['positive']""",anticipation,I'm really looking forward to immersing myself in the new virtual reality game tonight.,en,llama-3.1-8b-instant,v2-batch,1,14
111,immerse,"""['anticipation', 'fear', 'joy', 'surprise', 'trust']""","""['positive']""",anticipation,She plans to immerse herself in a new language by taking an intensive course abroad next semester.,en,llama-3.1-8b-instant,v2-batch,1,17
112,punt,"""['anticipation']""","""[]""",anticipation,The coach wants the team to punt the ball on fourth down to avoid a potential fumble.,en,llama-3.1-8b-instant,v2-batch,1,17
113,punt,"""['anticipation']""","""[]""",anticipation,I'm going to punt on the project deadline and ask for an extension to ensure its quality.,en,llama-3.1-8b-instant,v2-batch,1,17
114,diagnosis,"""['anticipation', 'fear', 'trust']""","""['negative']""",anticipation,The doctor needs to make a diagnosis before giving the patient a prescription and a treatment plan.,en,llama-3.1-8b-instant,v2-batch,1,17
115,diagnosis,"""['anticipation', 'fear', 'trust']""","""['negative']""",anticipation,The medical team will work together to arrive at a diagnosis and develop an effective treatment strategy.,en,llama-3.1-8b-instant,v2-batch,1,17
116,suspicious,"""['anger', 'anticipation']""","""['negative']""",anticipation,The police officer was suspicious of the stranger lingering around the crime scene.,en,llama-3.1-8b-instant,v2-batch,1,13
117,suspicious,"""['anger', 'anticipation']""","""['negative']""",anticipation,I'm becoming suspicious that the company's financial reports may be misleading or inaccurate.,en,llama-3.1-8b-instant,v2-batch,1,13
118,bloom,"""['anticipation', 'joy', 'trust']""","""['positive']""",anticipation,The flowers will bloom beautifully in the garden during the spring season.,en,llama-3.1-8b-instant,v2-batch,1,12
119,bloom,"""['anticipation', 'joy', 'trust']""","""['positive']""",anticipation,The new business is expected to bloom and become successful within the next few years.,en,llama-3.1-8b-instant,v2-batch,1,15
120,blob,"""['disgust', 'fear']""","""['negative']""",disgust,The sight of the green blob on my kitchen counter was utterly disturbing.,en,llama-3.1-8b-instant,v2-batch,1,13
121,blob,"""['disgust', 'fear']""","""['negative']""",disgust,The disgusting green blob had somehow formed on my favorite shirt overnight.,en,llama-3.1-8b-instant,v2-batch,1,12
122,horrific,"""['anger', 'disgust', 'fear', 'sadness']""","""['negative']""",disgust,The horrific images on the news were enough to make me feel disgusted.,en,llama-3.1-8b-instant,v2-batch,1,13
123,horrific,"""['anger', 'disgust', 'fear', 'sadness']""","""['negative']""",disgust,She had to watch the horrific video of the accident over and over again.,en,llama-3.1-8b-instant,v2-batch,1,14
124,lunatic,"""['anger', 'disgust', 'fear']""","""['negative']""",disgust,The neighbors were worried about the lunatic who lived in the house next door.,en,llama-3.1-8b-instant,v2-batch,1,14
125,lunatic,"""['anger', 'disgust', 'fear']""","""['negative']""",disgust,The idea of that lunatic getting loose in the city was terrifying to everyone.,en,llama-3.1-8b-instant,v2-batch,1,14
126,corrupting,"""['anger', 'disgust', 'fear', 'sadness']""","""['negative']""",disgust,The corrupting influence of money in politics was a major issue in the country.,en,llama-3.1-8b-instant,v2-batch,1,14
127,corrupting,"""['anger', 'disgust', 'fear', 'sadness']""","""['negative']""",disgust,The corrupting effects of social media on our mental health were becoming apparent.,en,llama-3.1-8b-instant,v2-batch,1,13
128,humiliating,"""['disgust']""","""['negative']""",disgust,The humiliating experience of failing the exam was a tough lesson to learn.,en,llama-3.1-8b-instant,v2-batch,1,13
129,humiliating,"""['disgust']""","""['negative']""",disgust,The humiliating way he got fired from his job was all over the news.,en,llama-3.1-8b-instant,v2-batch,1,14
130,deceive,"""['anger', 'disgust', 'sadness']""","""['negative']""",disgust,The politician's scandalous actions aimed to deceive the public and gain their trust.,en,llama-3.1-8b-instant,v2-batch,1,13
131,deceive,"""['anger', 'disgust', 'sadness']""","""['negative']""",disgust,Her deceitful behavior was exposed when she tried to deceive her boss about the project's deadline.,en,llama-3.1-8b-instant,v2-batch,1,16
132,reflux,"""['disgust']""","""['negative']""",disgust,The sour taste in my mouth was a result of the spicy food causing acid reflux.,en,llama-3.1-8b-instant,v2-batch,1,16
133,reflux,"""['disgust']""","""['negative']""",disgust,"After eating too quickly, she experienced a burning sensation due to stomach acid reflux.",en,llama-3.1-8b-instant,v2-batch,1,14
134,leer,"""['disgust']""","""['negative']""",disgust,The creepy guy's leering stare made me feel uncomfortable at the party.,en,llama-3.1-8b-instant,v2-batch,1,12
135,leer,"""['disgust']""","""['negative']""",disgust,Her brother's lustful leer was a constant reminder of his inappropriate behavior.,en,llama-3.1-8b-instant,v2-batch,1,12
136,swarm,"""['disgust']""","""[]""",disgust,"The swarm of bees chased us out of the garden, causing quite a commotion.",en,llama-3.1-8b-instant,v2-batch,1,14
137,swarm,"""['disgust']""","""[]""",disgust,"The massive swarm of locusts devastated the crops, leaving the farmer with nothing.",en,llama-3.1-8b-instant,v2-batch,1,13
138,prick,"""['anger', 'disgust', 'fear', 'surprise']""","""['negative']""",disgust,The thorn on the rose bush was painful to touch and might prick my skin.,en,llama-3.1-8b-instant,v2-batch,1,15
139,prick,"""['anger', 'disgust', 'fear', 'surprise']""","""['negative']""",disgust,The tiny needle in the sewing kit was sharp enough to prick my finger.,en,llama-3.1-8b-instant,v2-batch,1,14
140,elf,"""['anger', 'disgust', 'fear']""","""[]""",disgust,The creepy elf doll in the attic had a weird presence that filled me with disgust.,en,llama-3.1-8b-instant,v2-batch,1,16
141,elf,"""['anger', 'disgust', 'fear']""","""[]""",disgust,"A disturbing elf costume made from dead animal hides was put on display, repulsing everyone.",en,llama-3.1-8b-instant,v2-batch,1,15
142,punishment,"""['anger', 'disgust', 'fear']""","""['negative']""",disgust,"The cruel punishment meted out to the child was a severe beating, causing disgust in everyone.",en,llama-3.1-8b-instant,v2-batch,1,16
143,punishment,"""['anger', 'disgust', 'fear']""","""['negative']""",disgust,Watching the video of the brutal punishment inflicted on the prisoner left me feeling repulsed.,en,llama-3.1-8b-instant,v2-batch,1,15
144,poison,"""['anger', 'disgust', 'fear', 'sadness']""","""['negative']""",disgust,The discovery of the poisonous mushroom in my salad was a disgusting surprise.,en,llama-3.1-8b-instant,v2-batch,1,13
145,poison,"""['anger', 'disgust', 'fear', 'sadness']""","""['negative']""",disgust,The toxic poison in the snake's fangs was a disgusting thing to witness.,en,llama-3.1-8b-instant,v2-batch,1,13
146,gruff,"""['anger', 'disgust']""","""['negative']""",disgust,"The gruff, menacing voice of the stranger in the dark made me feel disgust and fear.",en,llama-3.1-8b-instant,v2-batch,1,16
147,gruff,"""['anger', 'disgust']""","""['negative']""",disgust,"The gruff, coarse language used by the sailor was disgusting to the polite officer.",en,llama-3.1-8b-instant,v2-batch,1,14
148,intolerant,"""['anger', 'disgust', 'fear', 'sadness']""","""['negative']""",disgust,The intolerant and bigoted views of the extremist group filled me with disgust and anger.,en,llama-3.1-8b-instant,v2-batch,1,15
149,intolerant,"""['anger', 'disgust', 'fear', 'sadness']""","""['negative']""",disgust,The intolerant attitude of the wealthy elite towards the poor was a disgusting thing to witness.,en,llama-3.1-8b-instant,v2-batch,1,16
150,confined,"""['anger', 'disgust', 'fear', 'sadness']""","""['negative']""",disgust,The smell from the dumpster made me feel confined in my own apartment.,en,llama-3.1-8b-instant,v2-batch,1,13
151,confined,"""['anger', 'disgust', 'fear', 'sadness']""","""['negative']""",disgust,Being confined to that cluttered room for weeks made me feel disgusted.,en,llama-3.1-8b-instant,v2-batch,1,12
152,excrement,"""['disgust']""","""['negative']""",disgust,The public restroom's poor maintenance left a trail of excrement on the floor.,en,llama-3.1-8b-instant,v2-batch,1,13
153,excrement,"""['disgust']""","""['negative']""",disgust,The disgusting smell of human excrement filled the entire hallway.,en,llama-3.1-8b-instant,v2-batch,1,10
154,impurity,"""['disgust']""","""['negative']""",disgust,The polluted water source was a symbol of the impurity in our environment.,en,llama-3.1-8b-instant,v2-batch,1,13
155,impurity,"""['disgust']""","""['negative']""",disgust,The chef was outraged by the impurity in the raw ingredients.,en,llama-3.1-8b-instant,v2-batch,1,11
156,elimination,"""['anger', 'disgust', 'fear', 'sadness']""","""['negative']""",disgust,The process of elimination led us to the source of the contamination.,en,llama-3.1-8b-instant,v2-batch,1,12
157,elimination,"""['anger', 'disgust', 'fear', 'sadness']""","""['negative']""",disgust,The unhygienic conditions made the elimination of the disease almost impossible.,en,llama-3.1-8b-instant,v2-batch,1,11
158,thoughtless,"""['anger', 'disgust']""","""['negative']""",disgust,The thoughtless decision to litter the park caused a huge mess.,en,llama-3.1-8b-instant,v2-batch,1,11
159,thoughtless,"""['anger', 'disgust']""","""['negative']""",disgust,The thoughtless dumping of chemical waste harmed the aquatic life.,en,llama-3.1-8b-instant,v2-batch,1,10
